Commodity,Country,UOM,Category,SubCategory,RowNumber,YearNum,FoodValue
"Coffee beans, unroasted",VIETNAM,Million $,Coffee,Foods,16,2000,111.9
"Coffee beans, unroasted",REST OF WORLD,Million $,Coffee,Foods,17,2000,1062.8
"Coffee beans, unroasted",WORLD,Million $,Coffee,Foods,18,2000,2349.5
"Coffee beans, unroasted",WORLD (Quantity),"1,000 mt",Coffee,Foods,19,2000,1297.3
"Coffee, roasted and instant",SWITZERLAND,Million $,Coffee,Foods,20,2000,0.7
"Coffee, roasted and instant",CANADA,Million $,Coffee,Foods,21,2000,85.0
"Coffee, roasted and instant",ITALY,Million $,Coffee,Foods,22,2000,16.8
"Coffee, roasted and instant",COLOMBIA,Million $,Coffee,Foods,23,2000,3.2
"Coffee, roasted and instant",MEXICO,Million $,Coffee,Foods,24,2000,6.2
"Coffee, roasted and instant",REST OF WORLD,Million $,Coffee,Foods,25,2000,67.2
"Coffee, roasted and instant",WORLD,Million $,Coffee,Foods,26,2000,179.1
"Coffee, roasted and instant",WORLD (Quantity),"1,000 mt",Coffee,Foods,27,2000,41.1
Coffee extracts and preparations,MEXICO,Million $,Coffee,Foods,28,2000,31.3
Coffee extracts and preparations,BRAZIL,Million $,Coffee,Foods,29,2000,35.1
Coffee extracts and preparations,COLOMBIA,Million $,Coffee,Foods,30,2000,12.0
Coffee extracts and preparations,NETHERLANDS,Million $,Coffee,Foods,31,2000,34.1
Coffee extracts and preparations,REST OF WORLD,Million $,Coffee,Foods,32,2000,61.7
Coffee extracts and preparations,WORLD,Million $,Coffee,Foods,33,2000,174.2
Coffee extracts and preparations,WORLD (Quantity),"1,000 mt",Coffee,Foods,34,2000,33.7
Tea and mate,JAPAN,Million $,Coffee,Foods,35,2000,4.0
Tea and mate,CHINA,Million $,Coffee,Foods,36,2000,20.4
Tea and mate,CANADA,Million $,Coffee,Foods,37,2000,46.0
Tea and mate,INDIA,Million $,Coffee,Foods,38,2000,21.4
Tea and mate,REST OF WORLD,Million $,Coffee,Foods,39,2000,126.7
Tea and mate,WORLD,Million $,Coffee,Foods,40,2000,218.5
Tea and mate,WORLD (Quantity),"1,000 mt",Coffee,Foods,41,2000,161.0
